[2024-09-02 16:20:52] PRINT [118]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [119]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [120]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [121]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [122]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [123]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [124]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [125]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [126]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [127]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [128]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [129]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [130]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [131]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [132]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [133]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [134]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [135]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [136]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [137]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [138]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:52] PRINT [139]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
